Station,Latitude,Longitude,Incidents values
Philippi,-34.01838419,18.54457085,1000
Gordons Bay,-34.1801016,18.86652788,513
Atlantis,-33.59706937,18.44101288,1034
Parow,-33.89188306,18.58625953,2481
Mitchells Plain,-34.05938359,18.62046728,3218
Melkbosstrand,-33.7085075,18.46613347,196
Table Bay Harbour,-33.50742653,18.14852589,90
Harare,-34.06031814,18.68230231,4133
Hout Bay,-34.03476614,18.34965673,605
Claremont,-33.98080524,18.45740227,2342
Goodwood,-33.89956325,18.55270481,1946
Mfuleni,-33.98259235,18.67230073,3645
Somerset West,-34.0735928,18.84902256,1547
Dieprivier,-34.02649614,18.45012478,1304
Philippi East,-34.00941479,18.60524795,3118
Gugulethu,-33.98523075,18.57519541,2606
Table View,-33.80697786,18.49054308,1884
Kraaifontein,-33.80060944,18.73097714,3528
Camps Bay,-33.96724003,18.3811725,336
Strandfontein,-34.07793634,18.57247881,529
Pinelands,-33.93591156,18.51347722,982
Wynberg,-33.99933379,18.43651831,2194
Rondebosch,-33.96633358,18.47658408,1023
Nyanga,-34.00031734,18.59416761,4960
Kuilsrivier,-33.94687524,18.71230664,1964
Manenberg,-33.98317814,18.55276655,1453
Belhar,-33.94560724,18.62348851,917
Philadelphia,-33.68687618,18.59247119,118
Bellville South,-33.92322378,18.63417511,708
Cape Town Central,-33.94731804,18.41565781,6954
Lwandle,-34.12283203,18.86356083,1121
Simon'S Town,-34.2342367,18.4396593,248
Elsies River,-33.92464087,18.56925772,1433
Milnerton,-33.86965266,18.50346509,2760
Macassar,-34.05432096,18.75304811,538
Bishop Lavis,-33.96003666,18.58091971,2189
Bothasig,-33.83502777,18.54916971,484
Fish Hoek,-34.1209992,18.39272404,577
Muizenberg,-34.09535017,18.48273527,1364
Khayelitsha,-34.01562029,18.64866768,2668
Kensington,-33.91281511,18.51300681,501
Maitland,-33.91893827,18.48513542,1441
Lingelethu-West,-34.04135008,18.65770028,2253
Langa,-33.94531157,18.52642232,906
Delft,-33.96412683,18.62094123,3546
Samora Machel,-34.01257755,18.57729257,1629
Sea Point,-33.91557895,18.39785121,2426
Ravensmead,-33.94481483,18.60024877,939
Kirstenhof,-34.05611935,18.43999434,689
Durbanville,-33.81454413,18.63444445,1663
Woodstock,-33.93030282,18.45819254,2391
Athlone,-33.96821133,18.5133936,1934
Lansdowne,-33.99527653,18.50793522,921
Strand,-34.10616014,18.83714249,1588
Mowbray,-33.95289216,18.48557865,822
Kleinvlei,-34.0055519,18.72304524,1930
Lentegeur,-34.02166909,18.61297074,1791
Ocean View,-34.1479202,18.34475464,587
Brackenfell,-33.87770567,18.7011681,1602
Grassy Park,-34.03782193,18.5079727,1803
Bellville,-33.87923387,18.63140939,3728
Steenberg,-34.05101059,18.48008151,842
